,title,place,term,term_start,term_end,time,emp_rate,link,adr,lat,lng
14,요양보호사 자격취득과정,섬기미요양보호사교육원,21/05/31~21/07/09,210531,210709,30일  총240시간,56.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000300065&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500020035844#undefined,2층  755 신서동 동구 대구광역시 대한민국,35.8695864,128.726415
15,전산회계세무(전산회계1급  전산세무2급  FAT1급  TAT2급)자격증취득과정A,그린컴퓨터아카데미 신촌,21/05/31~21/08/16,210531,210816,45일  총180시간,50,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000299242&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020016713#undefined,서울특별시 마포구 노고산동 31-11 5층,37.554939,126.937309
16,[CAM]머시닝센터+CNC선반 실무(컴퓨터응용가공산업기사 실기),피나캐드(CAD)학원,21/05/31~21/08/27,210531,210827,64일  총255시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000298508&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020014295#undefined,인천광역시 남구 주안동 226-2,37.4620024,126.6797085
17,전산세무회계[전산회계1급+전산세무2급]취득반,우쌤전산세무회계직업전문학교,21/05/31~21/08/12,210531,210812,53일  총210시간,65.6,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000297817&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020014009#undefined,대전광역시 서구 둔산동 둔산서로 3,36.3469566,127.3825935
18,한식자격증 취득과 실무과정,의정부 직업전문학교,21/05/31~21/07/15,210531,210715,34일  총136시간,54.2,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000296010&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500020051339#undefined,경기도 의정부시 의정부1동,37.7392054,127.0450503
19,요양보호사자격취득과정,반구요양보호사교육원,21/05/31~21/07/09,210531,210709,30일  총240시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000295538&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500035562483#undefined,울산광역시 중구 반구동 442-22번지 금강빌딩 5층,35.5588188,129.3421841
20,서비스강사양성 및 CS리더스관리사 자격증취득과정,아바평생교육원,21/05/31~21/06/25,210531,210625,20일  총100시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000295168&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020011825#undefined,서울특별시 마포구 노고산동 번지 5층 31-135,37.55456119999999,126.9373561
21,전산세무회계종합과정(전산회계1급 및 전산세무2급),군산세무회계학원,21/05/31~21/08/04,210531,210804,40일  총200시간,56.8,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000294975&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020055222#undefined,전북 군산시 나운동 342-24,35.9618894,126.7013392
22,떡 제조 기능사 취득반(이론+실기),마음쿠킹클래스학원,21/05/31~21/07/01,210531,210701,20일  총60시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000294368&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500037002425#undefined,경기도 양평군 양평읍 공흥리 402-8번지 삼원스탠 1층 KR,37.4900918,127.5041527
23,서비스강사 양성과정(NCS기반 인사),아바평생교육원,21/05/31~21/06/25,210531,210625,20일  총100시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000294107&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020011825#undefined,서울특별시 마포구 노고산동 번지 5층 31-135,37.55456119999999,126.9373561
24,타일시공입문 및 타일기능사 취득,북인천직업전문학교,21/05/31~21/06/30,210531,210630,23일  총180시간,36.4,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000293329&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020062675#undefined,인천광역시 계양구 작전2동 계양대로 61,37.5292744,126.7221907
25,화훼장식기능사 202호,제이플로리스트학원,21/05/31~21/07/14,210531,210714,14일  총112시간,33.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000293091&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500020054542#undefined,서울특별시 서초구 방배1동 905-3,37.4847584,126.9958402
26,컴퓨터활용능력2급(필기+실기)자격증취득,김해컴퓨터학원,21/05/31~21/07/02,210531,210702,25일  총100시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000292684&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500037029326#undefined,경남 김해시 외동 분성로194번길,35.2314329,128.8714633
27,커피바리스타 양성과정1 (바리스타 2급+홈카페마스터),크라비커피바리스타학원,21/05/31~21/07/08,210531,210708,24일  총96시간,50,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000292081&tracseTme=7&crseTracseSe=C0061&trainstCstmrId=500034288252#undefined,인천광역시 연수구 동춘2동 번지 7층 703 메디칼빌딩 704호 KR 인천광역시 연수구 동춘동 936-1,37.4081441,126.6714938
28,항공&여행사(토파스 세이버 항공권예약 발권)자격증 동시취득과정(NCS기반),종로아바CS평생교육원,21/05/31~21/07/07,210531,210707,28일  총139시간,50,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000291331&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500034180383#undefined,서울특별시 관철동 관철동 42-4번지 4층 종로구 서울특별시 KR,37.5689596,126.9845309
29,제빵기능사 자격취득 및 천연발효빵,김지순요리제과직업전문학교,21/05/31~21/07/20,210531,210720,30일  총120시간,34.5,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000291137&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020038953#undefined,제주특별자치도 제주시 노형동 수덕5길 23,33.4858576,126.4760698
30,요양보호사자격증취득,김해사랑요양보호사교육원,21/05/31~21/07/09,210531,210709,30일  총240시간,60.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000290968&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020058840#undefined,경남 김해시 부원동 605-13,35.22667029999999,128.8825238
31,ITQ 및 컴퓨터활용능력2급 자격취득,나우전산학원,21/05/31~21/07/02,210531,210702,25일  총100시간,43.9,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000290878&tracseTme=9&crseTracseSe=C0061&trainstCstmrId=500020062986#undefined,경남 창원시 성산구 상남동 1-6,35.2241078,128.6853949
32,컴퓨터활용능력2급자격증(필기 실기),동인천컴퓨터아트학원,21/05/31~21/07/07,210531,210707,28일  총84시간,52.9,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000290473&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500020061039#undefined,인천광역시 중구 인현동 26-8,37.4742001,126.6309821
33,미용사(피부)자격취득과정,광주뷰티직업전문학교,21/05/31~21/09/07,210531,210907,70일  총280시간,28.6,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000289302&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020044197#undefined,광주광역시 서구 농성2동 경열로 32-1,35.15112939999999,126.8896991
34,요양보호사자격증취득과정,성심요양보호사교육원,21/05/31~21/08/01,210531,210801,30일  총240시간,57.1,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000289258&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500020023459#undefined,서울특별시 도봉구 도봉동 595,37.6794041,127.0444982
35,전산회계1급 및 ITQ정보기술 자격취득(엑셀+파포),대영컴퓨터전문학원,21/05/31~21/08/06,210531,210806,50일  총150시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000283493&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500036930526#undefined,전북 익산시 영등동 197 6번지 KR,35.9519137,126.9738234
36,요양보호사자격취득과정,(주)편안한요양보호사교육원,21/05/31~21/07/03,210531,210703,30일  총240시간,58.6,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000283058&tracseTme=1&crseTracseSe='C006&trainstCstmrId='50002003572#undefined,서울특별시 중랑구 상봉동 115-14,37.595647,127.0839178
37,굴삭기 자격취득(실기),울산중장비직업전문학교,21/05/31~21/06/25,210531,210625,20일  총80시간,48.2,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000280230&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500020026134#undefined,울산광역시 남구 달동 568-5,35.5409609,129.3245526
38,컴퓨터활용능력 1급(필기/실기),이지디자인컴퓨터학원,21/05/31~21/07/02,210531,210702,25일  총100시간,50.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000279289&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500020054778#undefined,충북 청주시 서원구 사창동 140-17,36.6348493,127.4577539
39,요양보호사 자격증취득 NCS과정,신현대요양보호사교육원,21/05/31~21/07/09,210531,210709,30일  총240시간,54.9,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000278156&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500020048315#undefined,인천광역시 부개동 부개동 363-3번지 3층 부평구 인천광역시 KR,37.4860503,126.7391314
40,피부미용실무(몸매관리),나레스트뷰티아카데미미용학원 연산점,21/05/31~21/07/09,210531,210709,20일  총80시간,54,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000277762&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500020019223#undefined,부산광역시 연제구 연산4동 중앙대로 1114 세종빌딩 6층,35.1864795,129.0817252
41,헤어미용향상(헤어커트정복),씨씨씨(ccc)미용학원,21/05/31~21/07/29,210531,210729,35일  총210시간,58.9,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000276916&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020047214#undefined,충북 청주시 상당구 영동 104-5,36.636894,127.4866356
42,요양보호사자격증 취득과정,늘푸른한가족요양보호사교육원,21/05/31~21/07/09,210531,210709,30일  총240시간,58,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000275599&tracseTme=6&crseTracseSe=C0061&trainstCstmrId=500020028047#undefined,서울특별시 양천구 신정동 오목로 181,37.5253467,126.8575109
43,한식조리기능사 취득과정(필기+실기),한솔요리아카데미,21/05/31~21/06/25,210531,210625,20일  총80시간,37,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000274219&tracseTme=7&crseTracseSe=C0061&trainstCstmrId=500020057973#undefined,서울특별시 강동구 천호2동 천호대로 995  4 5 6층,37.5392954,127.123066
45,CAD_UG활용기계부품설계,서구캐드컴퓨터기술학원,21/05/31~21/09/14,210531,210914,72일  총360시간,78.9,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000271404&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500020030644#undefined,대구광역시 서구 평리2동 1676,35.8706351,128.565553
46,한식조리기능사 자격 취득과정(이론+실기),조민승요리학원,21/05/31~21/07/19,210531,210719,36일  총108시간,67.9,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000269187&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020047156#undefined,경남 거제시 고현동 961-92,34.8884284,128.6233568
47,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,21/05/31~21/07/01,210531,210701,23일  총138시간,71.6,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20190000262596&tracseTme=1&crseTracseSe='C006&trainstCstmrId='50002003374#undefined,서울특별시 서초구 서초3동 서초동 1538-8,37.488044,127.0092273
48,지게차 자격취득(실기),울산중장비직업전문학교,21/05/31~21/06/25,210531,210625,20일  총80시간,56.9,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20190000253478&tracseTme=2&crseTracseSe='C006&trainstCstmrId='50002002613#undefined,울산광역시 남구 달동 568-5,35.5409609,129.3245526
49,케이크 데코 및 디저트 실용과정,궁전제과(주)광주제과기술학원,21/05/31~21/08/26,210531,210826,60일  총180시간,45.3,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20190000249175&tracseTme=9&crseTracseSe=C0061&trainstCstmrId=500020047830#undefined,광주광역시 북구 두암1동 동문대로 92,35.1716462,126.9242061
50,요양보호사 국가자격대비반,수레 요양보호사 교육원,21/05/31~21/08/06,210531,210806,30일  총240시간,67.9,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20190000239558&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500034464131#undefined,경기도 남양주시 와부읍 덕소리,37.5870649,127.212721
51,(영상촬영드론조종)소형무인기(드론)조종 및 드론정비 융합과정(집체+원격),제일에너지교육원종로학원,21/05/31~21/09/30,210531,210930,81일  총655시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000311758&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020012410#undefined,서울특별시 종로구 연지동 136-5,37.5739787,126.999745
52,(시각디자인_옥외광고디자인)-시각디자인/편집디자인/포토샵/일러스트,새동아직업전문학교,21/05/31~21/09/03,210531,210903,70일  총420시간,33.3,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000296557&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020049082#undefined,부산광역시 사하구 하단1동 590-2,35.1051124,128.9655817
53,[디지털디자인]UI/UX 웹디자인 with 유튜브동영상 반응형웹(A),이젠컴퓨터학원,21/05/31~21/10/11,210531,211011,90일  총720시간,76.6,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000310002&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500020025093#undefined,서울특별시 노원구 상계6.7동,37.6557931,127.0624256
54,3D프린팅 디자인 양성과정(A),재단법인 이찬 경북직업전문학교,21/05/31~21/11/24,210531,211124,119일  총710시간,62.5,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000305073&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020014391#undefined,경북 포항시 북구 용흥동 115-3,36.0335697,129.3601185
55,(전기시스템제어)PLC시스템운영 실무자양성-A,한국직업능력교육원(구.열린드림기술교육원),21/05/31~21/10/25,210531,211025,100일  총700시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000281938&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020029336#undefined,경기도 시흥시 정왕본동 마유로418번길 18 KR,37.351171,126.7429203
56,(BIM) 실내건축설계디자인[캐드(CAD) 맥스(MAX) 스케치업 레빗] 양성과정 2,강남 그린컴퓨터아카데미,21/05/31~21/10/20,210531,211020,100일  총800시간,80.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000276896&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020046871#undefined,서울특별시 강남구 역삼1동 강남대로 428,37.5007689,127.0268353
57,3D프린터를 활용한 제품디자인(캐드 라이노 포토샵),(주)우리안전기술원 부설 전남직업전문학교,21/05/31~21/11/19,210531,211119,118일  총800시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000299287&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020042082#undefined,전남 순천시 가곡동 251-1,34.9831422,127.484238
